2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.pipeline | [WEB-Local] gen-all全流程模式：按依赖顺序执行...
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.pipeline | [WEB-Local] 第0步: 生成基础数据
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local] 第0.1步：功能清单模块树已生成: md\0.1.gen-basedata-功能清单-模块树.md
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local] 第0.2步：录入文档元数据-模板已生成: md\0.2.gen-basedata-录入文档元数据-模板.md
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local] 第0.3步：模块树统计验证
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local]   ✓ 入口（个数）: 期望=2, 实际=2
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local]   ✓ 一级模块（个数）: 期望=3, 实际=3
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local]   ✓ 二级模块（个数）: 期望=8, 实际=8
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local]   ✓ 三级模块（个数）: 期望=19, 实际=19
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local]   ✓ 功能过程（个数）: 期望=56, 实际=56
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.excel_source | [WEB-Local] ═══ 全部通过 ═══
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.pipeline | [WEB-Local] 第0.4步：AI填充文档元数据...
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.pipeline | [WEB-Local] enable_ai_fill_meta=false，跳过 AI 填充，直接复制模板
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.pipeline | [WEB-Local] 第1步: 生成FPA工作量评估...
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] 第1.1步：生成 FPA 模板 MD...
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] FPA 模板 MD 已生成: md\1.1.gen-fpa-FPA-模板.md (112 行)
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] 第1.2步：FPA工作量已写入: md\1.2.gen-fpa-FPA工作量-总和.md (168.0)
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] 第1.3步：AI 填充 FPA 数据...
2026-05-29 16:10:33 | DEBUG    | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] MODEL: deepseek-v4-flash[1m]  BASE URL: https://api.deepseek.com/anthropic  API Key: 已设置
2026-05-29 16:10:33 | DEBUG    | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] 从模板附录读取判定原则 13 条
2026-05-29 16:10:33 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local]   FPA AI 填充 [1/112] 【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-界面开发...
2026-05-29 16:10:34 | WARNING  | ai_gen_reimbursement_docs.llm_client | [WEB-Local] LLM 调用失败 [fpa_EI_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-界面开发]（第 1/3 次）: Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****here is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-29 16:10:37 | WARNING  | ai_gen_reimbursement_docs.llm_client | [WEB-Local] LLM 调用失败 [fpa_EI_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-界面开发]（第 2/3 次）: Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****here is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-29 16:10:41 | WARNING  | ai_gen_reimbursement_docs.llm_client | [WEB-Local] LLM 调用失败 [fpa_EI_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-界面开发]（第 3/3 次）: Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****here is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-29 16:10:41 | WARNING  | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] LLM 调用失败 [fpa_EI_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-界面开发]: AI 调用失败，已重试 3 次仍无法完成。请检查网络连接、API Key 和端点配置。
2026-05-29 16:10:41 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local]   FPA AI 填充 [2/112] 【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-接口开发...
2026-05-29 16:10:42 | WARNING  | ai_gen_reimbursement_docs.llm_client | [WEB-Local] LLM 调用失败 [fpa_ILF_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-接口开发]（第 1/3 次）: Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****here is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-29 16:10:45 | WARNING  | ai_gen_reimbursement_docs.llm_client | [WEB-Local] LLM 调用失败 [fpa_ILF_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-接口开发]（第 2/3 次）: Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****here is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-29 16:10:50 | WARNING  | ai_gen_reimbursement_docs.llm_client | [WEB-Local] LLM 调用失败 [fpa_ILF_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-接口开发]（第 3/3 次）: Error code: 401 - {'error': {'message': 'Authentication Fails, Your api key: ****here is invalid', 'type': 'authentication_error', 'param': None, 'code': 'invalid_request_error'}}
2026-05-29 16:10:50 | WARNING  | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local] LLM 调用失败 [fpa_ILF_【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-添加垂直行业-接口开发]: AI 调用失败，已重试 3 次仍无法完成。请检查网络连接、API Key 和端点配置。
2026-05-29 16:10:50 | INFO     | ai_gen_reimbursement_docs.gen_fpa | [WEB-Local]   FPA AI 填充 [3/112] 【地市后台】垂直行业营销-垂直行业管理-垂直行业管理-垂直行业列表数据查询-界面...
